RECEIVER,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
89b6d740-b228-47d7-af3d-19ba4e499957,3666,98:4F:EE:0D:11:53,2020-06-23 13:05:19.166844,e66fae5f-cc87-4803-9f87-8e1eedf3cb34,256,256,1,-48
5e89115a-ea5b-4178-afbf-72413b17feb9,2939,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.169836,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3744,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.172836,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-45
3bc2afc8-d924-472a-b617-8430d43f8aa3,3508,98:4F:EE:0D:04:8E,2020-06-23 13:05:19.174836,c5cd5566-8cf2-4279-bc8e-d6a6b4285474,256,256,1,-51
fdf89eab-93b1-4655-882c-540ec651a1c8,2840,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.218663,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-46
c5cd5566-8cf2-4279-bc8e-d6a6b4285474,3650,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.222662,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
d8020ffa-6fb9-4478-97ed-61537a947f58,5864,98:4F:EE:0D:0F:34,2020-06-23 13:05:19.225662,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-46
89b6d740-b228-47d7-af3d-19ba4e499957,3667,98:4F:EE:0D:0E:C6,2020-06-23 13:05:19.227661,fdf89eab-93b1-4655-882c-540ec651a1c8,256,256,1,-44
5e89115a-ea5b-4178-afbf-72413b17feb9,2940,98:4F:EE:0D:0F:34,2020-06-23 13:05:19.230662,89b6d740-b228-47d7-af3d-19ba4e499957,256,256,1,-45
e66fae5f-cc87-4803-9f87-8e1eedf3cb34,3745,98:4F:EE:0D:04:A4,2020-06-23 13:05:19.233662,d8020ffa-6fb9-4478-97ed-61537a947f58,256,256,1,-63
